salary,company,place,description,title
[],[u'Ocean County College'],"[u'57 reviews', u'Toms River, NJ 08753']","[u'Adjunct Faculty, e-Learning provide online course instruction in a manner that ensures student comprehension, retention of knowledge and positive and effective student engagement. This position demonstrates an understanding of course content; appropriate methods for delivering content via current e-learning technology; and evidence of pedagogical and technological acumen that includes robust instruction and communication practices.', u'\n', u'\n', u'List of Essential Activities', u'\n', u'1. Manages and facilitates class activities and adheres to and meets all established college policies\n', u'\n2. Adheres to Ocean County College guidelines and standards for online and online/hybrid learning', u'\n3. May attend departmental meetings; and serve on search committees as determined by the School Dean, Dean of eLearning and/or Vice President at their discretion', u'\n4. Responds to invitations to make recommendations to the School Dean and Dean of e-Learning regarding the selection of textbooks or other required texts relative to the adjunct faculty member\u2019s appropriate academic discipline and teaching assignment', u'\n5. Submits final grades no later than 48 hours after the conclusion of their last day of class; remains available to students during the week following the posting of final grades as mutually determined by the School Dean, Dean of e-Learning and/or Vice President and the adjunct faculty member', u'\n6. Participates in student learning outcomes assessment related to the adjunct\u2019s teaching assignment as directed by the School Dean, Dean of e-Learning and/or Vice President at their discretion\n', u'\n7. Adheres to all established College absence and attendance policies, guidelines and requirements which includes the Adjunct Handbook', u'\n8. Completes related projects and duties as assigned', u'\n', u'\n', u'Required Qualifications', u'\n', u'1. Education \u2013 one of the following:', u'\na. Master\u2019s Degree in the discipline;', u'\nb. Master\u2019s Degree in a different discipline with at least 18 graduate credits in the discipline;', u'\nc. Master\u2019s Degree in a different discipline, plus at least two years of directly related professional field experience and/or certification/licensure in the field of specialization', u'\n2. Prior experience teaching at the high school or college level; or experience as a trainer or in conducting group presentations', u'\n3. Proven communication and interpersonal skills.', u'\n4. Recent technology experience as required of the position.', u'\n', u'\n', u'Preferred Qualifications', u'\n', u'1. Doctorate Degree', u'\n2. One year of experience using Learning Management Systems', u'\n3. Two years distance learning teaching experience', u'\n', u'\n', u'ADA Selection', u' ', u'Sedentary', u'\n', u'\n', u'ADA Selection Definitions', u' ', u'ADA Selection Definitions', u'\n', u'\n', u'Hours', u' ', u'Other', u'\n', u'\n', u'If other, please specify', u'\n', u'Vary depending on course assignment', u'\n', u'\n', u'Work Days', u'\n', u'\n', u'Duration Type', u' ', u'Semester to Semester basis', u'\n', u'\n', u'Duration of Employment', u'\n', u'Based on college needs', u'\n', u'\n', u'Salary', u' ', u'$825/sh']","Adjunct Assistant Professor, e-Learning"
[],[u'CoreAxis'],[u'United States'],"[u'Contract to permanent', u'\nThe Learning and Development Coordinator is responsible for the planning, coordination, implementation and evaluation of innovative and contemporary learning and development programs that supports strategies to build a sustainable, resilient, and adaptable workforce.', u'\n', u'\n', u'Key Responsibilities:', u'\n', u'\n', u'Review and revitalize all existing learning and development activities considering new modes of delivery for remote workers, residential, professional, administrative staff and volunteers.', u'\nCo-ordinate and maintain the organizations orientation program for new staff and volunteers that includes service and position specific checklists, self directed learning packages, buddying and mentoring, corporate orientation and customer care programs.', u'\nCoordinate and maintain the organizational learning and development calendars and associated awareness months, considering mechanisms to promote the various activities and maximize participation from staff and volunteers across the company\u2019s geographic footprint.', u'\nOversee the planning, delivery and evaluation of mandatory training programs to ensure skilled staff and volunteers and compliancy with quality standards and audit requirements. This includes the preparation of reports on staff attendance and follow up actions.', u'\nBuild a register and maintain relationships with a range of reputable training providers in the areas of leadership, management, clinical, care and other key organizational learning and development priorities.', u'\nCoordinate requests to attend external courses and conferences which involves follow up on approvals, registrations and the associated travel and accommodation requirements.', u'\nOversee the coordination of internal learning and development activities, including: workshops, toolbox talks and staff meeting training sessions which may include the sourcing of contemporary trainers, guest speakers, specialist providers, educational consultants as requested by Service Managers. This may include assisting with organizing venues, RSVP\u2019s, catering, training materials and equipment.', u'\nCoordinate and manage traineeships in conjunction with managers, trainees and service providers, including monitoring key deadlines, reimbursements and funding incentives, coordinating supervision and training activities, sourcing government funding and initiatives and actively feeding into the curriculum development where possible.', u'\nEnsure learning and development records and statistics are maintained and reported to effectively monitor, manage and plan organizational learning and development activities.', u'\nEvaluate internally and externally facilitated learning and development activities, workshops and conferences and report on the return on investment in terms of costs, learning\u2019s gained, strategies to reinforce learning and share knowledge with the organization as appropriate.', u'\nIdentify opportunities for funding which can be utilized to provide enhanced programs and opportunities for professional development and expand staff qualifications, knowledge and skill base including assisting with application preparation and submission.', u'\nAssist Managers with design and delivery of training and e-learning packages providing templates for lesson plans, presentation formats, facilitator guide formats, participant guides and evaluation documentation.', u'\nActively participate in special projects, initiatives or programs as required.']",Learning Coordinator
[],[u'Orchard Hill College and Academy Trust'],"[u'House, NM']","[u'Person Specification\n', u'The person specification shows the abilities and skills you will need to carry out the\n', u'duties in the job description. Short listing is carried out on the basis of how well you\n', u'meet the requirements of the person specification. You should mention any\n', u'experience you have had which shows how you could meet these requirements\n', u'when you fill in your application form. Priority 1 criteria are essential on appointment.\n', u'Priority 2 criteria may be acquired after appointment. If you are selected for interview\n', u'you may be asked also to undertake practical tests to cover the skills and abilities\n', u'shown below:', u'\n', u'Qualifications/Experience Priority', u'\n', u'\n', u'Experience of working within a team 1', u'\n', u'Experience of working, caring or voluntary work with people who have\n', u'\ndisabilities 1', u'\n', u'Experience of working in an education environment', u'\n2', u'\n', u'\n', u'Ability, Skills and Knowledge', u'\n', u'\n', u'Able to demonstrate a commitment to the safeguarding of children and', u'\nvulnerable adults 1', u'\n', u'Able to maintain accurate legible and up to date records of individual', u'\nstudent achievements, using a variety of formats including ICT 1', u'\n', u'Able to contribute to the planning and implementation of sessions by', u'\nproviding feedback on previous sessions, initiating own suggestions,', u'\ncreating resources, interpreting and putting into practice session plans, 1\n', u'guidelines and procedures', u'\n', u'Able to communicate (receive and transmit) with students and staff using a', u'\nvariety of media, spoken, sign, written, gestural and intuitive 1', u'\n', u'Able to take responsibility for individual and small groups of students, who', u'\nmay communicate using challenging behaviour, at college and out in the', u'\ncommunity, which will involve physically supporting students as they walk, 1', u'\npushing students in wheelchairs, personal and intimate care and coping', u'\nwith emergencies', u'\n', u'Able to recognise the students as adults and individuals in their own\n', u'\nright and to reflect this during all interactions with the students and choice 1', u'\nof activities', u'\n', u'Able to promote and adhere to the Council\u2019s Equality and Diversity Policy,', u'\nSafeguarding of Children and Vulnerable Adults Policies and Health and 1', u'\nSafety Policies', u'\n', u'Demonstrable practical skills or previous work experience in any of the', u'\n2\n', u'following areas: Horticulture, Catering and E-Learning']",Learning Support Assistant
"[u'$130,253 - $173,670 a year']",[u'Ocean County College'],"[u'57 reviews', u'Toms River, NJ 08753']","[u'The Vice President of e-Learning and Learning Enterprises serves as the strategic and operational leader for the planning, development, and successful implementation of e-Learning programs of instruction and related learning support services for local, national, and international opportunities.', u'\n', u'\nThe Vice President provides vision and drives change in areas where e-Learning has the opportunity for the College to realize growth in student enrollment and partnerships.', u'\n', u'\nThe Vice President must have the ability to establish and maintain strong and collegial relations through mutual trust and respect with students, faculty, lecturers, administrators, staff, and partnership constituents within e-Learning and Learning Enterprises throughout the College and among institutional partnership stakeholders. Additionally, the Vice President must have the ability to lead, inspire, promote innovation, and advance the College\u2019s commitment to student success.', u'\n', u'\nThis position reports directly to the President of the College; serves as a member of the President\u2019s Leadership Team; interacts with the Bylaw, Policy, and Curriculum Committee and International Programs Committee of the Board of Trustees; and works with colleagues across the state, country, and world.', u'\n', u'\n', u'List of Essential Activities', u'\n', u'1. Provides strategic leadership and supervision for all programs and activities within e-Learning and Learning Enterprises, focusing on an agile approach to creating, implementing, and marketing new business and partnership opportunities locally, nationally, and internationally.', u'\n2. Leads strategic planning and formulates the e-Learning/Learning Enterprises budget to ensure initiatives are properly funded and produce expected cost-to-benefit ratios.', u'\n3. Provides primary leadership for e-Learning/Learning Enterprises related to program approvals, re-accreditation processes, program service contracts, and agreements with university and industry partners.', u'\n4. Continuously evaluates staffing needs and recommends organizational changes to support ongoing and new programs. Oversees the selection, evaluation, and professional development of e-Learning/Learning Enterprises faculty and staff, both on campus and internationally.', u'\n5. Collaborates across the College and among partnerships to drive strategies, build and sustain relationships, and promote new business opportunities within an entrepreneurial framework.', u'\n6. Provides leadership for e-Learning and Learning Enterprise initiatives with other higher education institutions and appropriate business, industry, and university partners, domestically and internationally, and for ensuring e-Learning representation on appropriate and relevant governance and other College committees.', u'\n7. Stays up-to-date on the complex issues facing higher education and technologies utilized by e-Learning as well as ensures currency and compliance in e-Learning and Learning Enterprises initiatives, practices, and processes.', u'\n8. Plans, organizes, and directs international education programs. Works closely with the Executive Vice President of Finance and Administration to develop enrollment projections, revenue and expense projections, and other analyses as needed to make decisions related to implementing new programs and evaluating the ongoing performance of existing programs.', u'\n9. Works closely with the Vice President of Academic Affairs to ensure cooperative and collaborative development and implementation of courses, programs, and other pedagogical initiatives. Works closely with the Vice President of Student Affairs to ensure cooperation and collaboration in e-Learning recruitment, marketing, admissions, and retention of online students.', u'\n10. Maintains a visible, accessible presence, both internally and externally, and advances the institutional vision of Ocean County College.', u'\n', u'\n', u'Required Qualifications', u'\n', u'1. Doctoral degree or active enrollment in a doctoral degree program in a teaching discipline related to the responsibilities of the Vice President of e-Learning and Learning Enterprises position.', u'\n2. Ten years of progressively increasing levels of responsibility in academic administrative roles in higher education at the Dean/Director level or above, a minimum of five of which should include the planning, marketing, and implementation of e-Learning initiatives.', u'\n3. Demonstrated experience in project management, strategic planning, report writing, and the preparation of detailed written documents and oral communications requiring a high level of accuracy.', u'\n4. A depth of experience which illustrates the ability to lead a complex organization, including unique local, national, and international partnerships.', u'\n5. Three years of full-time college teaching experience or equivalent, to include experience in teaching through an e-Learning platform.', u'\n6. Experience leading a major element of a re-accreditation process.', u'\n7. Prior experience working with international constituents to further productive and profitable partnerships.', u'\n', u'\n', u'Preferred Qualifications', u'\n', u'1. Community college experience.', u'\n2. Prior experience managing faculty/staff in a unionized environment.', u'\n', u'\n', u'ADA Selection', u' ', u'Light', u'\n', u'\n', u'ADA Selection Definitions', u' ', u'ADA Selection Definitions', u'\n', u'\n', u'Hours', u' ', u'40 Hours', u'\n', u'\n', u'If other, please specify', u'\n', u'\n', u'Work Days', u' ', u'Mon - Fri', u'\n', u'\n', u'Duration Type', u' ', u'Annual - 12 months', u'\n', u'\n', u'Duration of Employment', u'\n', u'Executive-level administrators work with full acceptance of a professional obligation to commit to extra hours beyond 40 hours per week as the work of the position requires.', u'\n', u'\n', u'Salary', u' ', u'$130,253 - $173,670 depending on experience']",Vice President of e-Learning and Learning Enterprises
"[u'$92,800 - $120,600 a year']",[u'Broward College'],"[u'363 reviews', u'Davie, FL']","[u'The Dean of Online & E-Learning is an innovative learning leader providing leadership, expertise and creativity to support and inspire faculty in the successful integration of technology into teaching and learning. The Dean also encourages and fosters a culture of inquiry about student learning in support of various College strategic initiatives. Under the general supervision of Vice Provost, Academic Affairs, the Dean also works in collaboration with the District-wide administration and community partners in higher education to maximize opportunities to ensure student success.\n', u'\nThe Dean provides leadership, expertise and creativity to support and inspire Associate Deans and faculty in successfully integrating technology into teaching and learning; conceptualizes, initiates and implements ideas to enhance the current and changing online and E-Learning program offerings within a diverse and multi-cultural community.', u'\n', u'Minimum Education:\n', u""Master's degree required. An earned doctorate preferred.\n"", u'Minimum Experience/Training:\n', u'Requires 7-10 years of progressive administrative or managerial experience.\n', u'Experience with project management, various computer software programs, online and E-Learning programs are required. A minimum of five years of relevant and progressive administrative experience including curriculum development and oversight of faculty and staff is required.\n', u'Demonstrated ability to increase graduates in programs is desired.\n', u'Essential Functions:\n', u'Daily -20%: Provides strategic leadership in the design, implementation and continuous improvement of the Online and E-Learning programs and services. Assists in the development and management of a comprehensive professional development program for BC Online and E-Learning faculty to successfully integrate technologies with pedagogies in the online environment.\n', u'Daily - 30%: Leads and manages various e-learning initiatives and online course development projects. Provides leadership and expertise in the design and development of online program courses to ensure student success.\n', u'Other - 10%: Assists in the development of marketing strategies leading to program recognition and growth.\n', u'Other - 5%: Develops processes and systems that enhance instruction and increase student success and completion.\n', u'Other - 5%: Employs appropriate enrollment management and retention strategies.\n', u'Other - 5%: Assists the Academic Pathway Deans in the oversight of Associate Deans and faculty as related to Online and E-Learning modalities.\n', u'Other - 5%: Establishes and maintains collaborative working relationships college-wide.\n', u'Other - 5%: Leads collaboration with 3rd parties and vendors that provide online and e-learning related services, including soliciting proposals, reviewing and revising contracts, etc.\n', u'Other - 5%: Establishes and maintains collaborative working relationships with business and industry partners, agencies, community organizations and educational institutions.\n', u'Other - 5%: Serves as the liaison with major e-learning organizations such as Online Learning Consortium (OLC), Instructional Technology Council (ITC), Quality Matters (QM), and WICHE Cooperative for Educational Technologies (WCET).\n', u'Other - 5%: Performs related duties as assigned.\n', u'Knowledge, Skills and Abilities\n', u'Ability to promote best practices in online and E-Learning learning to ensure student success\n', u'Competence with assessment processes to evaluate goal attainment and carry on day-to-day operations will be necessary.\n', u'Models inclusive excellence through specific actions that support the College\u2019s diversity goals in the recruitment, hiring, and retention of talented and diverse faculty and staff\n', u'Recruits, trains and retains superior quality administrators and staff\n', u'Provides leadership, supervision, professional development opportunities, and evaluation of the associate deans, directors, managers, and staff\n', u'Oversees multiple academic or business affairs or student affairs departments, units or centers\n', u'Develops and administers several large departmental budget(s) and State/Federal grants\n', u'Works directly with contractual provisions, interpreting contract language and working with faculty to ensure contract provisions are met\n', u'Responsible for the protection and safe-keeping of confidential data acquired during the course of work\n', u'Competencies:\n', u'Leadership & Results Orientation\n', u'\nInspires and generates enthusiasm and commitment for the vision, mission and core values of the College. Promotes employee growth and development through professional, technical, and academic programs and services. Makes effective decisions and produces results through strategic planning and development, implementation and evaluation of programs and policies. Sets goals and priorities that maximize the use of resources available to consistently deliver results\n', u'\n', u'\nDiversity and Inclusion\n', u""\nModels inclusive excellence through specific actions that support the College's diversity goals in the recruitment, hiring, and retention of talented and diverse faculty and staff\n"", u'\n', u'\nInnovation and Creativity\n', u'\nSuccessfully implements creative ideas to move the organization, processes, and systems forward. Introduces new concepts, models, practices and services that serve to improve the Colleges value in the community\n', u'\n', u'\nTeamwork & Collaboration\n', u""\nPromotes quality teams through the effective use of the organization's performance management system (e.g. establishes performance standards, appraises staff accomplishments using developed standards, and takes action to reward and counsel as appropriate). Embraces and employs the diversity of individuals, cultures, values, ideas and communication styles in the achievement of common goals\n"", u'\n', u'\nContinuous Improvement & Quality Service Orientation - Anticipates, identifies, diagnoses and consults on potential or actual problem areas relating to program implementation and divisional goal achievement. Fosters and environment of respect, dignity, and compassion that affirms and empowers all of its members (students, faculty, staff, outside organizations, others you provide service to) while striving for the highest ethical standards and social responsibility\n', u'\n', u'\nResource Management & Technology\n', u""\nDevelops and implements the most emergent technologies for the unit utilizing methods and strategies that create environments that are flexible and responsive to the needs of local and national trends and the College's mission. Plans, organizes and manages resources to bring about the successful completion of specific project goals and objectives. Ensures the effective use of college resources, implements fiscally sound practices and environmentally sustainable initiatives\n"", u'Job Title\n', u'Dean, Online Campus/E-Learning', u'\n', u'Position Number\n', u'P0078232', u'\n', u'Job Status\n', u'Full time Regular', u'\n', u'Department\n', u'Provost - Academic Affairs & Student Services', u'\n', u'Location\n', u'Cypress Creek Administrative Center', u'\n', u'Pay Grade\n', u'312', u'\n', u'Salary\n', u'$92,800 - $120,600 Salary commensurate with education and experience.', u'\n', u'Work Shift\n', u'First Shift', u'\n', u'Work Schedule\n', u'Monday-Friday/weekend/varies', u'\n', u'Hours Per Week\n', u'40', u'\n', u'Posting End Date\n', u'Open Until Filled', u'\n', u'Comments\n', u'To be considered for this position, a completed online employment application form along with a cover letter, resume and unofficial transcript are required.', u'\n', u'Designated Essential Personnel\n', u'No', u'\n', u'FLSA Status\n', u'Exempt', u'\n', u'Position Classification\n', u'Administrators', u'\n', u'Special Instructions to Applicant:\n', u'For positions requiring a degree, the official transcripts are required upon hire.\n', u'An unofficial copy of the degree/transcript is acceptable during the application process and can be faxed to ', u'954-201-7612 ', u'. On the fax transmittal, please state clearly the ', u'position name(s) ', u'and ', u'position number(s) ', u'the transcript is to be attached to.\n', u'Foreign Transcript: Transcripts issued outside of the United States require a equivalency statement from a certified transcript evaluation service verifying the degree equivalency to that of an accredited institution within the USA. This report must be attached with the application and submitted by the application deadline.\n', u'All document(s) must be received on or before the closing date of the job announcements.\n', u'Employment is contingent upon successful completion of the required background screening process.', u'\n', u'Diversity and Inclusion are a priority at Broward College\n', u'\nBroward College is a community in which diversity is valued and is an equal opportunity/ affirmative action employer. The College strongly encourages applications from eligible veterans and spouses of veterans, underrepresented groups, including minorities, women, and persons with disabilities. We are an Equal Opportunity Employer. We do not discriminate on the basis of age, color, disability, gender, genetic information, national origin, race, religion, sexual orientation or any other legally protected characteristic.\n', u'\n', u'\nFor inquiries regarding Title IX and the college\u2019s non-discrimination policies, contact the Executive Director for Human Resources and Equity at 954-201-7288, Broward College, 6400 NW 6th Way, Fort Lauderdale, FL 33309.\n', u'\n', u'\nApplicants needing a reasonable accommodation with the application process, please contact the Human Resources/Recruitment Office at 954-201-7449.\n', u'Disclaimer\n', u'The intent of this description is to illustrate the types of duties and responsibilities that will be required of positions given this title and should not be interpreted of describe all the specific duties and responsibilities that may be required in any particular position. Directly related education/experience beyond the minimum stated may be substituted where appropriate at the discretion of the Appointing Authority. Broward College reserves the right to revise or change job duties, job hours, and responsibilities.']","Dean, Online Campus/E-Learning"
[],[u'Emory University'],"[u'655 reviews', u'Atlanta, GA']","[u'Description\n', u'JOB DESCRIPTION:', u'\n', u'\nMultimedia Design (for E-learning): Provide production, layout and graphic design in the development of multimedia creative projects, such as video (including animation), website (including dynamic graphics, and interactive web elements), mobile apps, and online learning platforms.', u'\n', u'\nEnsure that graphic solutions deliver in the creative direction and vision of the department. Support the vision, goals and direction, and brand standards for all projects. Work collaboratively with faculty and staff to formulate and execute on project concepts following the creative process, revision executions per directions throughout all phases of project development. Edit and manipulate image graphics. Plan concepts and conduct imagery searches. Assist with acquisition of origianal and stock video and photography. Purchase and use following all copyrights. Collect files, perform system checks, and prepare final files for online posting on the web or delivery to E-learning team.', u'\n', u'\nAssist with other design componenets of multimedia projects (print or email). Communications (Newsletter/Website/Social Media): Identify potential stories, researching, interviewing, writing, editing, evaluating, proofreading and phtography, using desktop publishing tools and coordinating production through internal and external suppliers.', u'\n', u""\nWrites engaging copy that conveys Emory University's and the Dept of Anesthesiology's world-class image for use in informational pieces, brochures, deptartment reports, printed and/or electronic newsletters, and the dept web site."", u'\n', u'\nDevelops, creates and produces timely and creative promtional print and electronic materials. On occation takes phtographs for publications. Assist faculty with photgraphic elements of scientific manuscripts by utilizing photo editing tools to prepare photos for submission requirements. Writes, edits, and maintains all aspect of department web site and social media presence.', u'\n', u'\nMINIMUM QUALIFICATIONS:', u'\n', u'\nTwo years of college coursework and one year of multimedia experience or an equivalent combination of education, training and experience. Experience in an instructional technology setting preferred.']",E-Learning Design Specialist
[],[u'IGS Energy'],"[u'132 reviews', u'Dublin, OH 43017']","[u'Learning Producer Summary: The Learning Producer is responsible for building workforce capability and engagement through learning. The role works directly with business partners and as part of a collaborative L&D team to develop learning solutions to address business effectiveness issues. The role aligns with the overarching talent development and HR goals. Responsibilities may include: Performance consulting with internal business partners to assess individual- and organizational-level effectiveness challenges and provide recommendations of relevant learning solutions. Instructional design and development to craft great learning experiences using classroom learning, e-Learning, job aids and checklists, micro-learning, video, podcasting and more. Graphic, visual, and communication design to creatively convey ideas through text and images. LMS administration to provide IGS with a consistent, stable, well-built learning platform for learners (content curation and personalization) and managers (reporting) Learning innovation to meet the learning needs of IGS colleagues. Required Skills: You have excellent technical aptitude and an eye for details. You are tenacious and will work on a task over and over again in order to come up with an impeccable solution. You are skilled at making connections between pieces of information. You artfully juggle multiple tasks simultaneously. Experience: Bachelor\u2019s degree or relevant experience 2 years minimum experience, preferred in one of the following fields \u2013 education, training, marketing, or communications Proficient with instructional design tools such as Articulate Storyline, Camtasia, Adobe Captivate, Vyond, Articulate Rise, and the Microsoft suite']",Learning Producer
[],[],[u'Remote'],"[u'We Are Language Coaching\n', u""I love working for Rosetta Stone because it gives me the opportunity to talk with people from all over the world. I've probably learned more from the learners than they've learned from me! It's always a source of joy for me when they recognize that they really can learn a new language and that they are making real progress! - Jean, 7 Years English Online Language Tutoring\n"", u'We make the magic happen. We are bright and engaging tutors who facilitate small, safe online sessions that help learners produce speech and socialize in their new language. We motivate thousands of learners, serve as a bridge to help them communicate thoughts and concepts, and connect cultures in a way that ultimately changes lives. Can you bring that kind of magic?\n', u'You Are an American English Language Tutor\n', u'Rosetta Stone Studio is searching for native speakers of American English to evaluate e-learning submissions from learners and correct their mistakes. Tutors also facilitate a series of energetic online language classes for beginner to advanced students. Applicants ', u'MUST ', u'be comfortable with technology and have access to broadband Internet from a personal computer.\n', u'\n', u'\n', u'This is a work from home, part-time position. ', u'We are looking for candidates who can work ', u'10-12 hours ', u'weekly, Monday thru Friday between the hours of 5am-Noon and/or 6pm-midnight. We are also looking for weekend hours. ', u'Weekly hours are recurring and tutors are expected to maintain their assigned weekly hours each week.\n', u'Initiative: ', u'You enjoy the work you do and are continuously striving to provide an excellent learning experience. You understand how to connect with learners and motivate them to achieve their language learning goals.\n', u'Accountable: ', u'You are self-motivated to manage a remote opportunity and take pride in your commitment to our learners.\n', u'Collaborative: ', u'You collaborate with your supervisor and fellow colleagues to become confident in your role and share success stories!\n', u'Adaptable: ', u'You thrive in an adaptable work environment! You understand time management and priorities, and can adjust schedules to accommodate the mission of this role. ', u'You are seeking a flexible, work from home schedule but are committed to the hours desired for this position\n', u'All About You\n', u'You are a native American English speaker\n', u'Flexible Schedule\n', u'4 year degree (preference for TESOL certificate)\n', u'3-5 years\u2019 teaching and/or tutoring experience preferred\n', u'ESL teaching or Executive level client experience preferred\n', u'Demonstrated ability to adapt content for client needs\n', u'Proven proficiency with technology with demonstrated online platform experience in WebEx, Adobe, or any other web conferencing solutions preferred\n', u'At Rosetta Stone we speak, learn, and interact differently, we embrace and thrive on these differences! We deeply benefit from the diversity that each individual has to offer. We are dedicated to fostering a culture that celebrates unique backgrounds, ideas and experiences. Rosetta Stone is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, national origin, age, disability, pregnancy, veteran status or any other status protected by federal, state or local laws.']",English Online Language Tutor
[],[u'Clarins'],"[u'226 reviews', u'New York, NY 10023']","[u'Ready to bring passion into your career?', u'\n', u'\nClarins Group is not only a fast-growing, leading beauty company, we\u2019re also a committed, family-owned enterprise with a fiercely independent and pioneering spirit. As one of the top skin care companies worldwide, with a strong position in Europe and the Americas and growth accelerating in Asia, we\u2019re looking for an E-Learning Administrator based in New York City, New York.', u'\n', u'\nThe role:', u'\n', u'\n', u'\nYou will perform the administrative duties for the Clarins e-learning site (Clarins e-pro).', u'\n', u'\n', u'\nWhat you\u2019ll do:', u'\n', u'\n', u'\nAs the Epro Administrator, you will be challenged with maintaining the daily performance of the e-learning site which includes:', u'\n', u'Testing and updating content that aligns with Clarins U.S. brand strategies', u'Communicating with Clarins field personnel regarding newness and changes', u'Ensuring a flawless online experience for end-users', u'Generating and sending user reports to help cross-reference to sales trends', u'Collaborating with the Clarins US education team on special e-pro projects', u'\nYou are:', u'\n', u'Detail oriented with strong project management skills', u'Multi-tasker with the ability to manage multiple projects', u'Hands on with the ability to work independently', u'Customer-focused, results-oriented and brand-addicted', u'Genuinely looking forward to new challenges', u'\nYou have:', u'\n', u'1+ years of administration experience', u'Bachelor\u2019s Degree', u'Strong interest in working on LMS platforms (data systems)', u'Proficient in Microsoft Word, Excel, Power Point, Outlook and Adobe PDF Creator/Editor', u'Execellent verbal and communication skills', u'\n', u'\nWe have:', u'\n', u'Standout brands: Clarins, My Blend, Mugler and Azzaro Fragrances', u'Distinctive, high-quality products and services', u'A longstanding commitment to social, economic and ecological initiatives', u'Growth opportunities', u'Learning & Development', u'An attractive compensation and benefits package', u'\nIf you have a curious mind and are always questioning how things can be done better, the ability to take risks and accept new challenges, join us!', u'\n', u'\n', u'\n Equal Opportunity Employer']",E-Learning Administrator
